Participante 1,Inicio,Fin,Participante 2
p1,0,200,p2
p1,450,650,p2
p1,850,1050,p2
p1,1250,1450,p2
p1,1750,1950,p2
p1,2200,2400,p2
p1,2600,2800,p2
p1,3000,3200,p2
p1,3400,3600,p2
p1,3950,4150,p2
p1,4450,4650,p2
p1,4850,5050,p2
p1,5250,5450,p2
p1,5750,5950,p2
p1,6850,7050,p2
p1,7250,7450,p2
p1,7850,8050,p2
p1,0,200,p3
p1,450,650,p3
p1,850,1050,p3
p1,1250,1450,p3
p1,1750,1950,p3
p1,2200,2400,p3
p1,2600,2800,p3
p1,3000,3200,p3
p1,3400,3600,p3
p1,3950,4150,p3
p1,4450,4650,p3
p1,4850,5050,p3
p1,5250,5450,p3
p1,5750,5950,p3
p1,6850,7050,p3
p1,7250,7450,p3
p1,7850,8050,p3
p1,0,200,p4
p1,400,600,p4
p1,800,1000,p4
p1,1200,1400,p4
p1,1900,2100,p4
p1,2300,2500,p4
p1,2700,2900,p4
p1,3100,3300,p4
p1,3500,3700,p4
p1,3900,4100,p4
p1,4300,4500,p4
p1,4700,4900,p4
p1,5100,5300,p4
p1,5550,5750,p4
p1,5950,6150,p4
p1,6350,6550,p4
p1,6750,6950,p4
p1,7150,7350,p4
p1,7550,7750,p4
p1,7950,8150,p4
p1,8400,8600,p4
p2,300,500,p1
p2,700,900,p1
p2,1100,1300,p1
p2,1500,1700,p1
p2,2050,2250,p1
p2,2450,2650,p1
p2,2850,3050,p1
p2,3250,3450,p1
p2,3650,3850,p1
p2,4100,4300,p1
p2,4500,4700,p1
p2,4950,5150,p1
p2,5400,5600,p1
p2,5800,6000,p1
p2,6200,6400,p1
p2,6600,6800,p1
p2,7000,7200,p1
p2,7400,7600,p1
p2,7800,8000,p1
p2,8200,8400,p1
p2,0,200,p3
p2,400,600,p3
p2,800,1000,p3
p2,1200,1400,p3
p2,1600,1800,p3
p2,2000,2200,p3
p2,2400,2600,p3
p2,2800,3000,p3
p2,3300,3500,p3
p2,3700,3900,p3
p2,4100,4300,p3
p2,4500,4700,p3
p2,4900,5100,p3
p2,5300,5500,p3
p2,5700,5900,p3
p2,6100,6300,p3
p2,6750,6950,p3
p2,7150,7350,p3
p2,7550,7750,p3
p2,7950,8150,p3
p2,8350,8550,p3
p2,300,500,p4
p2,700,900,p4
p2,1100,1300,p4
p2,1500,1700,p4
p2,2050,2250,p4
p2,2450,2650,p4
p2,2850,3050,p4
p2,3250,3450,p4
p2,3650,3850,p4
p2,4100,4300,p4
p2,4500,4700,p4
p2,4950,5150,p4
p2,5400,5600,p4
p2,5800,6000,p4
p2,6200,6400,p4
p2,6600,6800,p4
p2,7000,7200,p4
p2,7400,7600,p4
p2,7800,8000,p4
p2,8200,8400,p4
p3,300,500,p1
p3,700,900,p1
p3,1100,1300,p1
p3,1500,1700,p1
p3,2050,2250,p1
p3,2450,2650,p1
p3,2850,3050,p1
p3,3250,3450,p1
p3,3650,3850,p1
p3,4100,4300,p1
p3,4500,4700,p1
p3,4950,5150,p1
p3,5400,5600,p1
p3,5800,6000,p1
p3,6200,6400,p1
p3,6600,6800,p1
p3,7000,7200,p1
p3,7400,7600,p1
p3,7800,8000,p1
p3,8200,8400,p1
p3,0,200,p2
p3,400,600,p2
p3,800,1000,p2
p3,1200,1400,p2
p3,1600,1800,p2
p3,2000,2200,p2
p3,2400,2600,p2
p3,2800,3000,p2
p3,3300,3500,p2
p3,3700,3900,p2
p3,4100,4300,p2
p3,4500,4700,p2
p3,4900,5100,p2
p3,5300,5500,p2
p3,5700,5900,p2
p3,6100,6300,p2
p3,6750,6950,p2
p3,7150,7350,p2
p3,7550,7750,p2
p3,7950,8150,p2
p3,8350,8550,p2
p3,300,500,p4
p3,700,900,p4
p3,1100,1300,p4
p3,1500,1700,p4
p3,2050,2250,p4
p3,2450,2650,p4
p3,2850,3050,p4
p3,3250,3450,p4
p3,3650,3850,p4
p3,4100,4300,p4
p3,4500,4700,p4
p3,4950,5150,p4
p3,5400,5600,p4
p3,5800,6000,p4
p3,6200,6400,p4
p3,6600,6800,p4
p3,7000,7200,p4
p3,7400,7600,p4
p3,7800,8000,p4
p3,8200,8400,p4
p4,0,200,p1
p4,400,600,p1
p4,800,1000,p1
p4,1200,1400,p1
p4,1900,2100,p1
p4,2300,2500,p1
p4,2700,2900,p1
p4,3100,3300,p1
p4,3500,3700,p1
p4,3900,4100,p1
p4,4300,4500,p1
p4,4700,4900,p1
p4,5100,5300,p1
p4,5550,5750,p1
p4,5950,6150,p1
p4,6350,6550,p1
p4,6750,6950,p1
p4,7150,7350,p1
p4,7550,7750,p1
p4,7950,8150,p1
p4,8400,8600,p1
p4,0,200,p2
p4,450,650,p2
p4,850,1050,p2
p4,1250,1450,p2
p4,1750,1950,p2
p4,2200,2400,p2
p4,2600,2800,p2
p4,3000,3200,p2
p4,3400,3600,p2
p4,3950,4150,p2
p4,4450,4650,p2
p4,4850,5050,p2
p4,5250,5450,p2
p4,5750,5950,p2
p4,6850,7050,p2
p4,7250,7450,p2
p4,7850,8050,p2
p4,0,200,p3
p4,450,650,p3
p4,850,1050,p3
p4,1250,1450,p3
p4,1750,1950,p3
p4,2200,2400,p3
p4,2600,2800,p3
p4,3000,3200,p3
p4,3400,3600,p3
p4,3950,4150,p3
p4,4450,4650,p3
p4,4850,5050,p3
p4,5250,5450,p3
p4,5750,5950,p3
p4,6850,7050,p3
p4,7250,7450,p3
p4,7850,8050,p3
